AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-788.6089921448166,378.0078121955937,-185.84820477301128,317967.4294364483,189953.23751061072,99543.42562126194,0,2010,1458,4
-731.7456118445817,350.44889319740304,-165.42956842057654,326996.91103722836,190016.1413772256,114613.06405314669,0,2009,1452,4
-675.5934832960849,324.2815648981788,-144.4003679165324,335947.8798667803,190165.24802768748,130070.82835385206,0,2009,1455,4
-620.7149442853039,299.7128607941644,-122.9205982132167,344739.2100272606,190426.53791202867,145859.13361194945,0,2010,1454,4
-567.6556561440476,276.97519292246847,-101.13301397396258,353294.7795035211,190823.4540835412,161920.50526042166,0,2012,1454,4
-516.9193644017429,256.3271984787229,-79.1436045346423,361547.2694044431,191374.67733385105,178199.62861681118,0,2010,1454,4
-468.95911557341145,238.02819312475552,-57.02009121594475,369439.5092936612,192092.50930361732,194644.68538003325,0,2010,1452,4
-424.18379229471066,222.29371541904027,-34.811891776668446,376923.9111914492,192982.19265806171,211208.37323448,0,2009,1452,4
-382.9678873551026,209.2562088746118,-12.574319190206566,383961.2724464044,194042.09809192942,227848.11207609205,0,2010,1451,4
-345.65642234574494,198.9470653571195,9.618567958458154,390519.83724232856,195265.00428508996,244525.0072216379,0,2009,1451,4
-312.56349772974437,191.2954516669612,31.67230264347679,396575.0879192772,196640.37750982272,261202.5098717212,0,2009,1452,4
-283.9690861709516,186.1355054308922,53.47307596476272,402109.9470708847,198156.55972847724,277845.1454977796,0,2010,1452,4
-260.1171616072653,183.22021450719916,74.88896946613755,407115.3588995939,199801.9945469425,294417.5055279155,0,2010,1451,4
-241.2139931464562,182.24308493597496,95.77603625977001,411591.6097708217,201565.7614185409,310884.0908229396,0,2010,1453,4
-227.42664542015157,182.86248049377608,115.9913871561247,415549.74619272846,203437.7758845606,327209.37873688375,3,2010,1452,4
-218.88168153628348,184.72180239437128,135.4125347628774,419012.11306415003,205408.62839560187,343357.50473581423,0,2010,1454,4
-215.66313602935702,187.46592822413615,153.95966385465528,422011.89190439135,207469.0521771126,359292.1312725648,0,2010,1451,4
-217.81078851927023,190.75395795952315,171.60957968898654,424591.87350707577,209609.09181261293,374976.3982224225,10,2010,1451,4
-225.31938963265938,194.2670699667385,188.3922062886455,426802.5039875763,211817.0723464709,390372.8769490953,0,2009,1452,4
-238.13771959620752,197.7136743688317,204.37395077085176,428699.3628106782,214078.54778219335,405444.2174261206,0,2010,1451,4
-256.1671728173489,200.83280169913257,219.63973676666802,430340.723144636,216375.60335721157,420153.9673457446,0,2009,1452,4
-279.2615128358009,203.3952668282008,234.28179399692013,431785.5148246513,218687.01332270415,434467.0545355364,0,2008,1451,4
