AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-903.8075752538296,111.65507230358769,34.4440986487949,257478.33441174144,126230.06883569644,185343.19224798807,1966,2045,1451,4
-911.9984048353326,109.8924965509358,43.795419521137156,257135.95227261135,127461.16891972114,186193.5184621994,2041,2045,1451,4
-920.1312781167403,108.04587000547073,52.79493447582596,256866.85169641324,128652.3330990085,187046.37551000158,2081,2041,1455,4
-928.1188181918969,106.11606300500661,61.28547895974652,256684.05384967194,129788.31381159303,187894.83255569747,2122,2047,1451,4
-935.8783881209513,104.10818877088354,69.13455270154452,256598.74936112564,130855.79370355223,188732.7499738504,2208,2060,1451,4
-943.3366943217791,102.0324580049991,76.24306450101173,256619.91318333943,131843.74586803906,189554.9042643298,2260,2069,1451,4
-950.433634548567,99.9040589964556,82.55031511391637,256754.05224151182,132743.4561424627,190357.05844463152,2264,2080,1453,4
-957.1228487547398,97.74224848690507,88.03238741129663,257005.1029841668,133548.25924958795,191135.98813421844,2279,2093,1453,4
-963.3695345377015,95.56931950778055,92.69593831990042,257374.45169560812,134253.23012409278,191889.48178649895,2284,2081,1453,4
-969.1475454369618,93.41007138217614,96.57168229404701,257861.01483491142,134855.0310226469,192616.275489829,2319,2091,1453,4
-974.4372524630995,91.29161652442279,99.70927917588054,258461.3179289599,135351.9817831435,193315.88233478458,2325,2089,1454,4
-979.2251519660354,89.24252807977958,102.17224151214721,259169.54211750237,135744.30687046103,193988.378486414,2371,2082,1451,4
-983.5051169900429,87.29109510259701,104.03227557842592,259977.53255643166,136034.3779958902,194634.24022874975,2377,2086,1451,4
-987.2797017754203,85.46352274460367,105.36426136442138,260874.81019401888,136226.76666026632,195254.24743175777,2334,2077,1455,4
-990.5603626519844,83.78211174875918,106.2418566986088,261848.7641072419,136328.00721456896,195849.41540920144,2334,2070,1452,4
