AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-1004.5545672870151,113.13751757960223,-27.981145650758094,115355.23454868031,119200.89140765571,168527.21527861824,2190,2039,1424,4
-1004.3240822936272,110.26418311709467,-23.78586515604002,115993.76840025921,118853.9820491487,169799.14239057945,2070,2032,1431,4
-1004.0776196603874,107.43550779174099,-19.739077727099012,116631.58400386453,118505.47881239427,171099.23267965615,1997,2034,1436,4
-1003.8078580252774,104.68524691124898,-15.874974796172198,117263.7537827161,118156.89445525785,172421.45145409324,1961,2030,1431,4
-1003.5105677683301,102.0413644627088,-12.229819001356024,117885.6709595044,117809.80756120344,173759.62988389976,1939,2026,1438,4
-1003.185218129735,99.52592307449649,-8.84125521227357,118493.1682373804,117465.95049066198,175107.42083386952,1883,2024,1447,4
-1002.8348133601935,97.15612991380563,-5.745994798508622,119082.71813763017,117127.27390194194,176458.26372066047,1786,2022,1460,4
-1002.4649446473792,94.94547607880313,-2.9766819556901676,119651.64734858177,116795.94367357524,177805.35433535167,1690,2008,1458,4
-1002.0822982494194,92.9046042183113,-0.5589787771679884,120198.23278794752,116474.24547233983,179141.6299827456,1655,1999,1469,4
-1001.6933417162077,91.04178090988499,1.4905753387956797,120721.64656618732,116164.40682153654,180459.84238974573,1605,2000,1463,4
-1001.3039499878705,89.36287775437951,3.165332781623485,121221.77832598399,115868.429883894,181752.66889527676,1416,1985,1476,4
-1000.9198227638864,87.87111377861618,4.468152979267883,121698.97275934798,115588.00640351015,183012.82305928558,1373,2005,1467,4
-1000.5470358580161,86.56693276275732,5.410815776571732,122153.72943752538,115324.48920541417,184233.23793691024,1273,2000,1483,4
-1000.1922834755082,85.44818885199166,6.013446589606783,122586.43095198272,115078.89273043373,185407.2673185361,1242,2018,1474,4
-999.8624486258755,84.51039936470973,6.303294892593334,122997.1407493006,114851.90169896866,186528.83688046134,1132,1996,1475,4
-999.5635672202785,83.74652973443258,6.312513785453164,123385.46358468915,114643.85029449263,187592.6123722496,1188,2010,1469,4
-999.2998538592565,83.14617769488362,6.075711511199729,123750.474807226,114454.68274016197,188594.15857263262,1088,2011,1476,4
-999.073323617561,82.69450637431171,5.628004604298664,124090.76424679969,114283.94832230652,189530.03593401366,1005,2001,1493,4
-998.8840892881335,82.37135703771584,5.003538690719061,124404.60954191357,114130.85407361625,190397.87979262677,980,2001,1487,4
-998.7311729731792,82.1512408939143,4.234416026670842,124690.19568135052,113994.35535343511,191196.4286143008,949,2000,1495,4
-998.6135106140747,82.0051514030731,3.349754829309356,124945.8340216883,113873.2469738677,191925.4308797327,902,1972,1514,4
-998.5306676162211,81.9040684764231,2.3746594257893747,125170.2271985767,113766.2154992092,192585.4623096472,848,1982,1506,4
-998.4828908734102,81.8222727850864,1.3295502649015356,125362.73363685585,113671.83588894614,193177.71726739526,804,1987,1506,4
-998.4704571170724,81.73888294058526,0.23015639554373674,125523.53791626729,113588.53458745671,193703.8036500937,791,1996,1503,4
-998.4924247063749,81.6378752517025,-0.912021384543429,125653.72418009963,113514.55650620339,194165.55612202192,831,2010,1515,4
-998.5452976541087,81.50758119463494,-2.088980939249904,125755.2567965573,113447.96970746304,194564.8934712658,796,2011,1515,4
-998.6225527373037,81.34014802827414,-3.2953056296605454,125830.83430649864,113386.74036168451,194903.740810419,798,2019,1509,4
-998.7154187261389,81.13080446316829,-4.527176485612059,125883.62806009257,113328.88028527141,195184.00089012005,775,1998,1526,4
-998.8143735496602,80.87673233411634,-5.781257429741934,125917.01662974583,113272.59722164819,195407.5236189352,782,2003,1527,4
-998.910731909763,80.5752508968241,-7.0531064194925746,125934.4177485361,113216.35724117894,195575.9842253187,720,1966,1557,4
-998.9979235915424,80.22096647478347,-8.335595337586607,125939.20899587491,113158.84637025779,195690.59284826432,571,2005,1531,4
-999.0720357972419,79.80405709181714,-9.61838396751228,125934.70428339326,113098.85590630861,195751.76163258456,545,1995,1535,4
-999.131179069422,79.31387029265254,-10.888811096511956,125924.0875851056,113035.09804465903,195759.12044522783,525,2022,1526,4
