AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-289.8923094538004,49.25821203880395,36.38645673826019,195393.93270635582,160735.4268022338,448203.23421155364,0,2008,1419,4
-331.6696966868377,51.14702222504917,49.68107508954855,199683.64011464137,159508.517622803,455786.83500807895,0,2009,1416,4
-375.2196359898663,52.562455275309354,63.102311938489315,204000.26891088262,158264.1928483137,463466.00476894464,0,2008,1417,4
-420.49149035804004,53.41022365883593,76.58493521631219,208312.68783809114,157010.89838639594,471202.01873817947,0,2007,1420,4
-467.4221418704426,53.59580612839781,90.05602678201433,212588.85455261517,155757.33862386865,478954.18393572856,0,2007,1422,4
-515.9348156791342,53.02703405381545,103.43376231469762,216796.42922994142,154512.2968092502,486680.0814599777,0,2008,1417,4
-565.9376438612913,51.61672563083204,116.62697109800459,220903.17314791854,153284.39739579754,494335.69166925835,0,2010,1417,4
-617.3231772103167,49.285293713870644,129.53554681994473,224877.31767936435,152081.73843299833,501875.88769159425,0,2004,1419,4
-669.9679409667527,45.962609361522766,142.0504570713758,228687.76849310842,150911.57199109218,509255.07820985274,0,2006,1419,4
-723.7316157683753,41.5882543753577,154.05425655195017,232303.9904551967,149780.30058030505,516427.6903927472,0,2008,1419,4
-778.4573028051725,36.110271538170785,165.42420232738365,235695.79309699842,148693.81226973806,523348.7735256794,0,2007,1419,4
-833.9714975317959,29.483041446577293,176.03653673627812,238833.08585332189,147657.99613155416,529974.5097770107,0,2009,1420,4
-890.0846221780592,21.664029546830022,185.7693264647594,241685.6317597755,146679.27609900586,536262.4756832612,0,2011,1423,4
-946.5955411725695,12.6094670433702,194.50392415567438,244223.0010013834,145765.06433906872,542172.0986536007,0,2010,1420,4
-1003.2970472798875,2.270849487051104,202.1258282071154,246414.73917463346,144924.02984648396,547665.1706454041,0,2010,1418,4
-1059.9790542630483,-9.40757655818422,208.52542125323387,248230.8233250115,144166.03256493402,552706.0958937056,0,2010,1419,4
-1116.4311733735713,-22.492255894510897,213.5988661345471,249642.60724845738,143501.71206871647,557262.0648616822,0,2008,1421,4
-1172.443406429615,-37.06406798476502,217.24892838134755,250623.99564276633,142941.97229363662,561303.0529778531,0,2005,1421,4
-1227.8043311037998,-53.22029487216415,219.38661754371273,251152.6113430204,142497.5077963174,564801.3901205253,0,2009,1420,4
-1282.3003444778585,-71.07411343370804,219.93428383936552,251211.0840821006,142178.30341791437,567731.087012247,0,2005,1430,4
-1335.7154211865668,-90.7513368237405,218.82823429148206,250788.19880829158,141993.20797032688,570067.1594584755,0,2001,1425,4
-1387.8291828499423,-112.38400636767763,216.01907741206315,249879.5786179206,141949.74910850578,571785.0211859152,0,1996,1431,4
-1438.414690785715,-136.1009682918525,211.47059989243655,248488.08611148858,142054.12097799487,572859.9860933586,0,1997,1426,4
-1487.2362638033676,-162.0171216006542,205.1590468469243,246624.12222711972,142311.22812271572,573266.9029327929,0,2000,1428,3
-1534.0477581573905,-190.2227698785741,197.0736568486789,244305.72162127864,142724.80060057595,572979.9277476129,0,2002,1426,3
-1578.5931542356852,-220.7726653123289,187.21805516716412,241558.36912969625,143297.59799975134,571972.4394796633,0,1989,1442,3
-1620.6077355093275,-253.67495434907948,175.61205219213903,238414.66780755538,144031.62609691962,570217.1042898728,0,1985,1437,3
-1659.8192049250654,-288.8802955818716,162.29418075957176,234913.78343097097,144928.39606637604,567686.0942877763,0,1990,1437,3
-1695.951499574039,-326.2705468505979,147.32546319754164,231100.43234253136,145989.35637655182,564351.466501352,0,2001,1439,3
-1728.7305583107384,-365.6484524014609,130.79393087663433,227023.7037822618,147216.4138817314,560185.7080072718,0,2000,1435,3
-1757.892381971684,-406.7319175590018,112.8188117193244,222735.84996147876,148612.43261423876,555162.4531485101,0,1995,1437,3
-1783.1964294202592,-449.1543060634609,93.55393796747316,218290.74790126338,150181.72118111607,549257.3786557182,0,1987,1443,3
-1804.439745722015,-492.4678350794818,73.19056250269651,213742.45984230802,151930.33588433577,542449.2822239689,0,1992,1437,3
-1821.4660087872667,-536.1493963519349,51.95869367492123,209144.32235583273,153865.99698181983,534721.3496393564,0,1982,1441,3
-1834.1715584794113,-579.6112683663612,30.125341206413424,204548.2371324914,155997.65263900833,526062.6148612368,0,1981,1442,3
-1842.5106365578813,-622.2133229213679,7.990842343590571,200004.2129864458,158334.7702655875,516469.6165053097,0,1981,1437,3
-1846.5007292782093,-663.2735440110348,-14.115128507469924,195560.3811744545,160886.28651323056,505948.1840209549,0,1976,1442,3
-1846.229440940887,-702.0789227881029,-35.83905510626319,191263.18397504432,163659.2163884714,494515.2163567822,0,1972,1453,3
-1841.8595068995771,-737.8930447362613,-56.810328393744584,187157.5047304749,166657.2374114334,482200.2340231799,0,1980,1452,3
-1833.6260764409717,-769.9561165152721,-76.64897612662884,183286.4268482636,169879.47455961662,469046.09443797526,0,1980,1452,3
-1821.8271011495492,-797.4830254919502,-94.97552267662621,179690.19233245135,173319.41409150677,455108.6020036308,0,1981,1443,3
-1806.8133526228926,-819.6670784579316,-111.42016765336444,176404.63769969667,176964.04638347446,440456.0310050053,0,1972,1451,3
-1788.9773106421014,-835.6968031026229,-125.63046669631481,173459.2573345562,180793.6937954065,425169.0852287869,0,1979,1445,3
-1768.733886413862,-844.7889150708443,-137.28217130847295,170874.60535892053,184782.7695653326,409340.6310526309,3,1979,1451,3
-1746.4973970407739,-846.228370208971,-146.09192316338257,168659.94458880558,188901.0134960944,393075.4950440201,0,1977,1445,3
-1722.6642098543148,-839.414581110073,-151.82826977348472,166812.418475602,193114.77434435053,376490.70368349494,0,1971,1455,3
-1697.5990017780414,-823.9205996985085,-154.32513079911953,165317.50970993526,197388.17397808033,359715.4577273376,0,1954,1470,3
-1671.6239210845292,-799.5528040207354,-153.50049415866536,164149.87040747525,201683.31020682756,342890.857472455,1,1976,1457,3
-1645.0168265013208,-766.4021645930056,-149.37909032285768,163274.3820592726,205958.58232569761,326169.1512842173,0,1978,1452,3
-1618.01639286972,-724.8945428987181,-142.11630213093477,162647.8925336167,210165.74986225695,309711.5478788373,0,1991,1441,3
-1590.826687007209,-675.8281627166823,-132.01603292198413,162221.66552565573,214247.73014554635,293685.262392463,0,2000,1435,3
-1563.6186854939515,-620.3673546813308,-119.5373838050102,161944.70320830663,218139.22241220728,278259.33421554876,28,2009,1458,3
-1536.528395987688,-559.9849336073765,-105.28977973465497,161768.2735988794,221770.60389251585,263597.1933174306,279,2000,1435,3
-1509.6508628888616,-496.38675510619765,-90.0145589550412,161650.4504514481,225073.31977279778,249847.9018379767,927,2004,1425,3
-1483.0298012798712,-431.43876066872053,-74.54185265526446,161558.960877389,227986.15636669268,237138.55811029283,1796,2001,1429,3
-1456.648716951228,-367.0765545091895,-59.71740635702302,161471.89078484516,230463.338704452,225567.27456195588,2607,2011,1420,3
-1430.4360079171986,-305.18979927468115,-46.32701881476522,161376.55423590494,232482.96044471415,215197.99880074937,2817,2004,1429,3
-1404.2904228016582,-247.4611213609432,-35.03894822111965,161267.80139670847,234054.29905266396,206058.93932483022,2933,2011,1425,3
-1378.116848167733,-195.13521507296824,-26.342998279679374,161148.92473717846,235223.24211891775,198144.18756134048,3042,2005,1427,3
-1351.8607286866286,-148.82059826630547,-20.466508239217127,161037.40866688258,236072.20732281005,191418.50214500696,3083,2014,1417,3
-1325.550548162278,-108.49036667730336,-17.287124946348523,160970.88226345324,236712.5752354581,185824.13940110872,3027,2013,1416,3
-1299.3448041166582,-73.69385177496504,-16.328826828624425,161004.17331514147,237269.77103001418,181287.48955017317,3092,2012,1420,3
-1273.5433829805193,-43.82333609682809,-16.896851015902282,161196.29997262088,237862.1785337731,177724.87092350688,3004,2020,1420,3
-1248.5484541142073,-18.291644990030562,-18.248247132221813,161596.7497823609,238581.6145942283,175047.5613947077,2920,2022,1423,3
-1224.794582388233,3.401390046265343,-19.68881339406828,162238.2993248497,239482.84564670263,173166.8193131137,2885,2029,1418,3
-1202.6638848749217,21.66742516781368,-20.61734098944179,163135.27501409067,240581.15442225678,171999.33128337486,2917,2028,1418,3
-1182.4159211934477,36.854981551033774,-20.557780753156752,164284.23412172802,241854.40687977313,171471.06406855816,2929,2022,1421,0
-1164.162525427342,49.28225726863433,-19.185066784407233,165666.5002392633,243248.20693902168,171517.63700134898,2972,2042,1415,0
-1147.8816228770925,59.26732190846302,-16.341831309898264,167252.89298761365,244683.95295561853,172081.84853555853,2974,2035,1421,0
-1133.445962474495,67.14443069258347,-12.034511932438491,169009.53025841888,246068.5327564827,173110.40678553758,2993,2028,1417,0
-1120.653553163386,73.2561468718477,-6.409367335554603,170902.33270374648,247303.21804219976,174551.7888295063,3025,2035,1418,0
-1109.261595378481,77.92561947902664,0.27503717397088917,172899.2523395227,248292.09410783017,176355.90375250226,3019,2042,1416,0
-1099.023947254388,81.42637640511055,7.670361517178404,174971.1000670988,248951.66118463932,178474.8965937015,2969,2047,1416,0
-1089.722561418798,83.96540408947237,15.357940517471336,177091.8161760053,249219.54611834505,180863.94486891344,2931,2068,1418,0
-1081.185270755954,85.68564201758879,22.87918696929272,179238.53596775015,249060.13502879426,183481.37948132853,2851,2058,1415,0
-1073.2875046625304,86.68483526199675,29.788748481762582,181391.59747310734,248468.17382977478,186288.18847240676,2828,2061,1416,0
-1065.9411720743938,87.03875749747179,35.71424496303118,183534.3106239105,247470.34112075102,189247.31589978162,2761,2074,1421,0
-1059.0818640524928,86.81816487214707,40.40142996516781,185652.3441984416,246121.99311108654,192323.38167286254,2667,2080,1421,0
-1052.664798163598,86.09947607563348,43.73817051210525,187732.91808352564,244497.85521869795,195483.18723445863,2534,2069,1422,0
-1046.6683006347112,84.97063491655446,45.751795087334415,189764.18067695497,242680.28564320807,198696.4659842929,2396,2072,1426,0
-1041.0925324960217,83.52972868403286,46.57745112996827,191735.13991074983,240748.67644592284,201936.05287362784,2232,2078,1427,0
-1035.9468377369942,81.87654441444074,46.40887562422109,193636.11484418472,238770.42133692055,205177.33893449703,2092,2100,1423,0
-1031.2350993512125,80.10259872134465,45.45397897205444,195459.1556407001,236795.16329883432,208397.43091999114,1952,2107,1424,0
-1026.949772580706,78.28517664597607,43.905553854474924,197197.99110274715,234854.2818894337,211574.5430293773,1833,2118,1415,0
-1023.0738320862635,76.48600315833298,41.919784948450626,198847.61547714655,232964.22284552996,214687.90026210374,1674,2107,1422,0
-1019.5843691562634,74.75236214092129,39.60194484775893,200403.8347122319,231130.85988679578,217717.95201892583,1458,2108,1432,0
-1016.4544953699393,73.11889576681644,37.00629941582223,201862.95851541983,229353.7277251783,220646.7129405015,1355,2106,1428,0
-1013.6542535620931,71.6094179694733,34.149062103965704,203221.69210303036,227630.37441713316,223458.33238060033,1242,2127,1425,0
-1011.152255336097,70.23838631783057,31.02568242544359,204477.1985637673,225960.06896881494,226139.72731643755,1088,2089,1443,0
-1008.9187341230861,69.0111702456947,27.627737514748084,205627.26602639948,224345.60019197906,228680.8778852248,1013,2075,1486,0
-1006.9294311388646,67.9230991225097,23.95958658642637,206670.61260547867,222793.03161550366,231074.72384401105,886,2086,1443,0
