AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-1020.4895944689837,-710.3502474631376,380.97675120629305,324371.33935671754,117639.38609182669,169105.54386499056,0,1974,1478,4
-1040.2726945421475,-601.6333649936403,362.80420208450283,311908.7474473464,115042.65131763917,165013.5672069436,45,1979,1471,4
-1058.826021267847,-498.81840978293536,344.4760704316989,299696.7257310368,112566.49178438117,160938.69849308563,74,2010,1450,4
-1075.9601924375534,-402.4705714512573,325.84382424329186,287834.2412008899,110230.88677955116,156917.18783176682,203,2010,1450,4
-1091.4832974602382,-313.1150403758755,306.78105839183496,276419.77675008477,108053.79422568674,152982.8326150661,340,2008,1449,4
-1105.2043698960485,-231.2567455644093,287.2033632052326,265549.819748302,106050.96288238667,149165.9027367714,744,2009,1450,4
-1116.9406990830335,-157.39179616874955,267.08549618822207,255316.6642824299,104235.652998371,145492.0367293891,1337,2009,1453,4
-1126.530279392456,-91.98387636823156,246.46721149198024,245805.86412617876,102618.06732388944,141981.3955580029,1879,2010,1450,4
-1133.8545087336277,-35.38910372834138,225.44595800516822,237092.73260969765,101204.24229188006,138648.02743674663,2275,2011,1454,4
-1138.862828239294,12.244567904975447,204.15849999007804,229238.90834492032,99994.6861875485,135499.80486624464,2440,2009,1449,4
-1141.5805300120257,51.06869944895798,182.75081215194933,222290.351910814,98983.31324677185,132539.77876614395,2600,2010,1452,4
-1142.0958338093412,81.59159294203752,161.34414840144615,216276.82120860188,98157.1940293928,129769.3253286861,2670,2010,1451,4
-1140.5441945014059,104.6574573961025,140.02437951369618,211212.820611648,97497.73699498692,127192.18448874401,2650,2009,1454,4
-1137.1122737258781,121.30310864836893,118.87681129575917,207099.1773090778,96983.7328825281,124817.65135981052,2654,2011,1450,4
-1132.0576371846769,132.5363231934307,98.04443889599291,203923.24621830246,96595.3099186521,122660.53404891757,2611,2009,1449,4
-1125.7114702772865,139.18289546948657,77.75546078185702,201657.26367772976,96316.23980821134,120736.44702867563,2570,2014,1452,4
-1118.4497982365883,141.87944431184806,58.303297969423916,200257.13489807348,96133.49132656804,119055.48047116458,2523,2013,1453,4
-1110.6488864720209,141.14768028583435,40.00532442187983,199664.30604694414,96035.42174274479,117619.00456823151,2492,2012,1453,4
-1102.6408771486458,137.47136548522695,23.15888542313487,199810.51118027876,96010.02269904672,116420.51975750354,2472,2013,1453,4
-1094.6842185671026,131.33441185576268,8.007419317972964,200622.55416702345,96044.03308518646,115448.45617950476,2494,2010,1453,4
-1086.9593552372273,123.20824283323877,-5.271502835469017,202025.56043462935,96123.39311786306,114689.07595930733,2517,2008,1450,4
-1079.5841349209654,113.51313620387705,-16.56000564369862,203945.48276988982,96234.71608683316,114128.7028874033,2608,2011,1450,4
-1072.6344205831617,102.59131086673207,-25.787679739553496,206311.1794058746,96366.70183937546,113754.89091721238,2675,2010,1450,4
-1066.158554074361,90.71323743099026,-32.92511497001118,209055.75346136588,96510.44869604407,113556.47898022176,2692,2010,1449,4
-1060.182882558695,78.11069950083065,-37.9899192628893,212117.33820493898,96658.57200454031,113523.09122536016,2748,2016,1450,4
-1054.7111748653285,65.01173735298221,-41.06026210852043,215439.26832977298,96804.01898322358,113644.72730616001,2837,2017,1451,4
-1049.7223400186867,51.65752696656447,-42.2836076550578,218969.33864028577,96939.6050551342,113911.73803187793,2891,2016,1452,4
-1045.1702895632934,38.2985867616309,-41.873042479863656,222658.31231965995,97058.56957597805,114315.12760125888,2958,2018,1451,4
-1040.9883043949358,25.178413709159184,-40.09284026653941,226458.27019556134,97155.62888172324,114846.91436297211,3032,2012,1451,4
-1037.1003252313758,12.511552055038392,-37.23599047903629,230321.44404012442,97227.87768565504,115500.3064797583,3099,2014,1449,4
-1033.4375063817072,0.46121237991632313,-33.595685102097804,234199.8416137314,97275.227104071,116269.60514764802,3156,2011,1451,4
