AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-976.635928453631,-128.80076854918178,60.46400959878958,261460.141212628,131980.92680440363,198667.85090476272,0,2016,1606,4
-979.2643163377217,-128.16200040498322,62.8619423154029,261437.55280570986,131595.3368959452,198455.4450104566,4,2044,1606,4
-981.9913495940954,-127.64151518662129,65.48720915208922,261418.60009963115,131195.11296695986,198215.1529217241,0,2017,1619,4
-984.8320350962703,-127.2551246381751,68.33362534602362,261401.83045390117,130780.02167853962,197943.84689959834,0,2004,1651,4
-987.8018245696207,-127.01665465956413,71.40038030440819,261386.00364474245,130349.65202958262,197638.24041288032,0,1999,1680,4
-990.9153350978951,-126.9369422119553,74.69275334515471,261370.10707631824,129903.40642404389,197294.921261048,0,2022,1669,4
-994.1853499750915,-127.02276069682738,78.22282175134208,261353.30211513018,129440.56202122815,196910.3663003958,0,2037,1676,4
-997.6233017431719,-127.27614016091339,82.00999928420667,261334.80551869687,128960.39263744457,196480.9511671777,0,1989,1699,4
-1001.2413684995474,-127.6940140120644,86.08063942925882,261313.6813038637,128462.26465749777,196002.9665282065,0,1969,1732,4
-1005.0546680267755,-128.26799103830163,90.46602989050199,261288.60651357396,127945.63964226958,195472.64887607464,1,1957,1754,4
-1009.0826499463245,-128.9843471230091,95.19858547932084,261257.73320060084,127409.94630993546,194886.19756944833,0,1934,1748,4
-1013.350164454879,-129.82439910312556,100.3067552119256,261218.68205488854,126854.33538046668,194239.72972411595,0,1846,1833,4
-1017.8885112724481,-130.76511640876882,105.8100428927664,261168.62306263213,126277.45963281817,193529.19232862373,0,1876,1847,4
-1022.7366240156616,-131.77965312350494,111.71484515475433,261104.39780615366,125677.40425777585,192750.26009733742,0,1844,1915,4
-1027.9417539580886,-132.8380463142689,118.01048740475876,261022.6783883473,125051.70055767267,191898.22062277372,0,1780,1971,4
-1033.5578642429725,-133.9082201803155,124.66620642219966,260920.24443405302,124397.32286241194,190967.89083317883,3,1729,2016,4
-1039.642193157614,-134.95574939529376,131.63189357069436,260794.4397507242,123710.7439059006,189953.57301626456,0,1675,2079,4
-1046.2530276018724,-135.94197352950948,138.84322095217962,260643.64319202557,122988.17209412646,188849.01944784718,0,1587,2118,4
-1053.4502544400455,-136.8231609920387,146.22859031024237,260467.49747288736,122225.91239680728,187647.4192998825,0,1506,2207,4
-1061.2973384538848,-137.55130652067086,153.71550798850595,260266.8505943953,121420.65435964488,186341.4300250919,0,1475,2239,4
-1069.8624647770005,-138.07438935815154,161.2344862018376,260043.57421111458,120569.56005459228,184923.27433974945,8,1342,2330,4
-1079.2182965989648,-138.33604882018122,168.72013765861442,259800.400725077,119670.15831728347,183384.87741820238,0,1287,2364,4
-1089.4411769650324,-138.2757861980286,176.11124543545571,259540.76158712406,118720.12977616969,181717.9826949286,0,1241,2423,4
-1100.6096654809692,-137.8296381095745,183.3503709854544,259268.58689213096,117717.12539970671,179914.27306590907,5,1200,2481,4
-1112.80152354731,-136.9314412844409,190.3821164798134,258988.08433706226,116658.68348452821,177965.53556484377,16,1036,2562,4
-1126.0893056545724,-135.51514413220607,197.15021462080705,258703.53258851104,115542.19077532314,175863.8452530111,2,1028,2594,4
-1140.5362675275935,-133.5175498112102,203.5949173285469,258419.17296286434,114364.90184945322,173601.7787105275,0,928,2658,4
-1156.194343150673,-130.880366724787,209.65218163302572,258139.2399347749,113124.04733850117,171172.64500125794,0,895,2699,4
-1173.1039095932742,-127.55120491525071,215.25496017897117,257868.05271861452,111816.96948593043,168570.685795337,0,851,2733,4
-1191.293414141615,-123.48361105917029,220.33531134707997,257610.06443195886,110441.24555109633,165791.2896369829,0,790,2771,4
-1210.7783597942366,-118.63615328201395,224.82612487525267,257369.76437265595,108994.7764287323,162831.23258589656,0,746,2802,4
-1231.5607676769782,-112.97091391233798,228.66241041107125,257151.3874711011,107475.80982753975,159688.88316644094,4,721,2861,4
-1253.6286579432121,-106.45240326526044,231.78216323240838,256958.53798325226,105882.9612150733,156364.4219336276,0,598,2884,4
-1276.9539690708812,-99.04749173827553,234.1269950002344,256793.7888892254,104215.28911563406,152860.07855223122,7,582,2920,4
-1301.4888915704782,-90.72620717991498,235.64290421669077,256658.20569081898,102472.38850211723,149180.2902838848,13,528,2948,4
-1327.161639948413,-81.46357857812997,236.2811452630572,256550.88569092416,100654.51865881919,145331.85987781524,4,478,2979,4
-1353.8723162136514,-71.24263938997458,235.9994886265903,256468.6338656198,98762.81107859207,141324.21779205158,3,464,2985,4
-1381.4890146207813,-60.057725359819614,234.76411020798741,256405.7357295602,96799.532710533,137169.73150143816,0,396,3015,4
-1409.8445241492095,-47.91693217959415,232.55178386805207,256353.76962807242,94768.33910448532,132883.90849498095,6,323,3008,4
-1438.7338982984961,-34.843426031317826,229.35223696259303,256301.4498603736,92674.45859745119,128485.38767740932,7,315,3046,4
