AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-1021.1100664470027,-121.53243172211992,107.8029861435723,320867.839158628,131019.0515331764,203209.56457967742,0,2158,1783,4
-1017.9653294898158,-120.05977882055407,105.55254181040418,320957.0795342712,130674.96507975925,203176.72640627628,0,2157,1805,4
-1014.8134077421317,-118.72412518952355,103.4853964310898,321048.4889676141,130329.59068177156,203133.46778614004,0,2174,1807,4
-1011.6837427273048,-117.55741039969045,101.63616230444075,321139.5728083732,129984.90284336812,203077.45572096424,0,2146,1827,4
-1008.6056529041347,-116.58804058926916,100.04059622151115,321228.1021562664,129642.51471723372,203006.4527788497,0,2118,1681,4
-1005.6080102289455,-115.8388862496131,98.73556334231236,321312.2040048155,129303.63577502103,202918.36636110832,0,2106,1702,4
-1002.7190663667651,-115.32513123368076,97.7590269428993,321390.38065993844,128969.07540232137,202811.25990466238,0,2084,1727,4
-999.9665294849582,-115.05311963382708,97.1499088762712,321461.4255915752,128639.26854337369,202683.32461960902,0,2054,1745,4
-997.3778454074892,-115.02046514771548,96.94758504486693,321524.23840434174,128314.28432905076,202532.8208815842,0,2063,1730,4
-994.9806236151348,-115.2168994538283,97.19096743955379,321577.61272896995,127993.81965569065,202358.01542996583,0,2067,1727,4
-992.803081680737,-115.62529774679233,97.91704392273641,321620.07435072644,127677.17907955442,202157.11167216842,2,2058,1747,4
-990.874328142025,-116.2226291618739,99.15908177521766,321649.7996374741,127363.22401168721,201928.14418116206,0,2079,1738,4
-989.2243840258844,-116.98072855589527,100.94502277177872,321664.6040694042,127050.31178334485,201668.85700662286,0,1992,1787,4
-987.8840304984514,-117.86658658528583,103.29584863345578,321661.94336185744,126736.2381930036,201376.58755983846,0,1936,1824,4
-986.8844494521336,-118.84240505600677,106.2233755511966,321638.8871120389,126418.1660743565,201048.1462597408,0,1915,1868,4
-986.2562890154592,-119.86674996082593,109.72768772097646,321592.1044479385,126092.58815803795,200679.73000794757,2,1895,1876,4
-986.0286025777352,-120.89707792440555,113.79538572389124,321517.9267287658,125755.40544419958,200266.91048130346,0,1849,1894,4
-986.228819579652,-121.89215866125384,118.39977446091865,321412.48961013585,125402.1161927063,199804.66361205588,0,1754,1962,4
-986.8839694352812,-122.81369276853724,123.50312736617504,321271.9130877403,125028.07042982578,199287.38168074403,0,1717,2007,4
-988.0224965973098,-123.62718706146855,129.06042994200095,321092.5041827719,124628.74264690446,198708.85762366533,0,1631,2051,4
-989.6758843132868,-124.30194829997636,135.02311090906818,320870.96362661966,124199.9288216225,198062.28682902583,8,1652,2049,4
-991.8797862838147,-124.81057754241228,141.34172599809267,320604.5809141832,123737.78814481426,197340.30603828817,3,1640,2092,4
-994.674886943338,-125.12814579085669,147.96787224724818,320291.41467653395,123238.74930541305,196535.04269258268,5,1611,2117,4
-998.1073487606113,-125.23086946175806,154.85508883086362,319930.41558584635,122699.37935864768,195638.17487702996,0,1455,2231,4
-1002.2285031118516,-125.09465262283253,161.95833968189265,319521.44109563465,122116.26631983584,194641.00749212058,0,1442,2211,4
-1007.0938819708263,-124.6939698051352,169.23255647377454,319065.16480985796,121485.90125119779,193534.55117830346,0,1416,2240,4
-1012.7619543712087,-124.00146951796513,176.63086758396642,318562.94425846107,120804.60487062088,192309.6290615256,0,1390,2295,4
