AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-1651.1388699191423,-912.3739318537126,-467.3425248702509,-5581.45053141182,149516.91009887448,301017.5951498789,2639,2011,1451,4
-1595.65054038416,-835.357152562613,-434.2129805790438,20728.51069574636,147302.7193474368,289335.8240076241,2527,2013,1455,4
-1540.942047556325,-759.3153334409106,-400.6007874140938,46714.99564226068,145180.07925421957,277849.9171347041,2549,2011,1451,4
-1487.7008625265325,-684.8830781699279,-367.028160882848,72138.34796372324,143132.10814517635,266679.77986179513,2357,2015,1454,4
-1436.4710264970072,-612.6327401487315,-334.0082675709377,96775.10567260366,141149.10692302234,255937.75383815824,2392,2025,1452,4
-1387.6521668974601,-543.0878545537514,-301.963482543707,120428.43289537434,139232.41640227076,245723.28047911145,2412,2031,1451,4
-1341.5240161131344,-476.731328968667,-271.1571664323768,142935.46079768983,137395.64922009164,236118.23875499234,2389,2026,1454,4
-1298.2750318864523,-413.99293762677934,-241.69007239011495,164168.78897551817,135661.22091312206,227185.24513471272,2373,2036,1451,4
-1258.0237306833171,-355.2250536505026,-213.55010826495396,184036.05607836673,134052.94840787808,218968.1929464748,2336,2035,1453,4
-1220.832611047696,-300.68824416457977,-186.67186453634596,202479.45573009906,132588.8726877982,211493.7982422716,2334,2043,1452,4
-1186.7160189676986,-250.55045636473608,-160.98286454483622,219473.85572455716,131277.7392909827,204773.59316717795,2422,2047,1450,4
-1155.6436947708123,-204.88817211749077,-136.4401071158353,235023.41430658157,130118.7993100625,198805.96449702085,2439,2047,1452,4
-1127.5437733374,-163.68830351645593,-113.05501217986115,249157.51224628167,129103.37627990115,193578.09319146915,2539,2045,1450,4
-1102.3088985481206,-126.85656938430512,-90.89531632896595,261926.05341283526,128217.74441732182,189067.88953496417,2531,2056,1452,4
-1079.8059352621876,-94.23231446455334,-70.06382194853035,273393.9586538778,127447.06202919788,185246.01449303018,2559,2060,1451,4
-1059.8857129632877,-65.60499722795008,-50.66919575782058,283635.6607562245,126778.93588755376,182077.7607863828,2593,2066,1451,4
-1042.3892407284216,-40.729875499186626,-32.80143555574107,292730.63113305956,126205.08113197591,179524.60856714397,2612,2102,1457,4
-1027.1512012742764,-19.34346881690077,-16.51644252143034,300760.1982990364,125720.73502672472,177545.56393242397,2651,2100,1454,4
-1014.0035289506511,-1.176679538326625,-1.8363349737256882,307805.6571414111,125322.43015410988,176098.20874125825,2649,2099,1455,4
-1002.7792138074442,14.03759863882695,11.236342489433884,313947.3050093097,125005.68248418158,175139.30992872713,2654,2119,1458,4
-993.3148010033912,26.561872740921316,22.70575557241729,319263.8006626635,124764.08642449274,174625.15031550772,2649,2120,1459,4
-985.4512194406072,36.65374892064753,32.58072938624532,323831.6588632308,124589.85466907492,174511.84127177717,2617,2137,1462,4
-979.0340589258915,44.56552482147308,40.88099257532561,327724.7502079509,124474.87624123436,174755.70083931743,2560,2148,1460,4
-973.9145615410268,50.54303172435069,47.64528796392563,331013.6622201848,124411.48560665305,175313.71372733687,2485,2150,1461,4
-969.9513869650386,54.82477032437657,52.93637790900229,333765.04837269004,124392.68376573082,176144.0611766249,2412,2170,1467,4
-967.0122998557707,57.64144822194752,56.84057934536277,336041.1062230868,124411.96191822518,177206.55530439265,2348,2159,1459,4
-964.9752337274449,59.21415450659295,59.46229707514342,337899.276589214,124463.00586850534,178462.90156315497,2242,2175,1464,4
-963.7289201834176,59.750198482456916,60.916696820426424,339392.22430540744,124539.50632718766,179876.91290471688,2143,2167,1461,4
-963.1733237812716,59.43856034422119,61.32400395460114,340567.94813231385,124635.14841236349,181414.66998639403,2035,2183,1464,4
-963.2193708218546,58.44761413669546,60.80585902579367,341469.86813428096,124743.73156723462,183044.57426769115,1909,2190,1465,4
-963.7873776991177,56.92549777159818,59.481884026618665,342136.93951305014,124859.33199365734,184737.37134015912,1828,2198,1466,4
-964.8048004907087,55.00163477180549,57.4663801732957,342603.79748116864,124976.42435763859,186466.16295685203,1739,2228,1630,4
-966.2044610259252,52.78821114695269,54.86600210485062,342900.90844270407,125089.93331196063,188206.43390659807,1661,2234,1628,4
-967.9235596822008,50.38174016853103,51.77800942167776,343054.79051745497,125195.25558703492,189936.17047166193,1556,2254,1635,4
-969.9031948828763,47.86486488283364,48.28901935596848,343088.2968324178,125288.28653383622,191635.9616199508,1435,2248,1628,4
-972.0883358623648,45.30748054111574,44.47505650510176,343020.968079332,125365.46381604573,193288.95128573256,1338,2265,1636,4
-974.4285692280339,42.76646298088379,40.40324252874913,342869.5084438036,125423.8448427187,194880.6948862159,1235,2272,1635,4
-976.8795908641853,40.28488497059851,36.134573849103866,342648.2571842413,125461.19762448952,196398.97103768165,1201,2270,1634,4
-979.4047041233872,37.89285040021998,31.726862337403485,342369.50466297654,125476.05105336054,197833.55272326,1178,2290,1633,4
-981.975383130406,35.61100799274609,27.236915264473076,342043.6886280124,125467.66570648558,199175.96396919093,1076,2275,1635,4
-984.570400278226,33.454850091303,22.721285916883257,341679.5350554946,125435.92903984028,200419.231314773,915,2289,1632,4
