AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-1014.804915455267,65.67949641935995,48.4831785478081,152856.10574605034,175491.488920478,175325.13629946706,488,2014,1507,4
-1014.4209787059721,68.39038478800452,43.50723510478136,153629.59503491165,174874.07895886028,175592.42519160325,477,2034,1493,4
-1014.0759522123258,71.04963287638456,38.613239601008104,154376.2057807294,174262.6831631877,175858.77082886538,375,2015,1507,4
-1013.7860651149321,73.61913762401768,33.849269495419925,155088.1275525833,173662.649849139,176119.51196793935,419,2023,1507,4
-1013.566011605976,76.05826473529127,29.25925413921937,155758.2201617929,173078.81564212943,176370.42181957746,323,2026,1520,4
-1013.4279404581622,78.32422637766307,24.881085442528306,156380.27236469218,172515.273873452,176607.9354193145,285,2011,1559,4
-1013.3806574535447,80.37365173942382,20.74522742215954,156949.21177957414,171975.17682990496,176829.3146130622,244,2001,1574,4
-1013.4290381954214,82.16543976818507,16.87293309580825,157461.22026911055,171460.65206190076,177032.68299399543,205,2030,1567,4
-1013.5738636781209,83.66321626432004,13.274597883596163,157913.84092581284,170972.79083728112,177216.954814804,200,2025,1583,4
-1013.8123587229755,84.83546269951391,9.949543717061964,158306.09080074614,170511.68135094337,177381.67444341542,146,1990,1600,4
-1014.1394464429134,85.65337808744194,6.887311976334987,158638.55994248917,170076.4942176562,177526.68247225048,179,1972,1628,4
-1014.5490364392451,86.08870319226862,4.06988960481422,158913.52809871733,169665.5886124071,177651.5825892935,139,1938,1652,4
-1015.0343168516932,86.11465951199305,1.4744553942976235,159135.0014947662,169276.61319949504,177755.31717185592,121,1964,1628,4
-1015.5869310484915,85.71114691666217,-0.9244745353283175,159308.42578753066,168906.66517865565,177836.3285383894,124,1919,1691,4
-1016.1958437467702,84.87111263534167,-3.154314033689069,159440.04484813733,168552.60515400785,177893.3402723824,46,1944,1680,4
