AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-871.8548690415446,-1062.1392957550659,374.95967457797826,296705.1564974979,132719.14145453848,142404.49924909874,0,1995,1465,4
-911.9134385988699,-925.816659583948,364.62849873308346,294186.84984357806,130980.9647266691,140313.68304910033,2,2011,1451,4
-949.7026923908038,-795.6386949848126,353.9108621301289,291578.5722789803,129409.64205160833,138353.82722729878,93,2012,1452,4
-984.9387026449169,-672.6292246495675,342.7373666287882,288927.5188492267,128010.19862097525,136545.8605777413,225,2013,1451,4
-1017.3361919113007,-557.7537884025478,331.0471963792162,286282.7093676842,126785.09202942127,134908.80457603323,722,2013,1454,4
-1046.611351187647,-451.90958160807077,318.8141865693216,283693.14005576225,125735.2534439523,133459.04086587485,1720,2011,1448,4
-1072.4949315830681,-355.88658931543534,306.06350747752714,281205.22889540944,124860.89806610552,132209.35614754196,2484,2010,1451,4
-1094.75520035152,-270.2794864039922,292.8576549357151,278860.9599874961,124160.8676869103,131167.85502772307,2761,2011,1453,4
-1113.2322221840234,-195.3404648728499,279.2500565011469,276697.92416519363,123629.90466709659,130336.52434482303,2881,2011,1451,4
-1127.8729490801345,-130.8438699483298,265.2387493221197,274751.76767442597,123255.06081923221,129709.86133875493,2935,2011,1455,4
-1138.755301464916,-76.0710165107915,250.77041961031216,273060.5247512468,123013.75975806185,129274.58446089408,3059,2010,1451,4
-1146.0970590844108,-29.962252289074716,235.80836512608906,271666.8990223162,122876.21017851794,129011.63036805498,3010,2009,1451,4
-1150.2408690131551,8.62751927361079,220.41337889050814,270613.0669280939,122812.4178607279,128900.76939579118,2909,2012,1452,4
-1151.6178693340203,40.717386638755244,204.77299936468918,269929.80249071546,122799.09794704885,128925.77275472459,2850,2010,1451,4
-1150.7040897794684,67.12539939525392,189.16217590328972,269627.87750208384,122821.53182497747,129077.36015914353,2750,2009,1453,4
-1147.9738791666307,88.49611972984953,173.8706963762909,269696.3219413737,122871.01554382521,129352.9981619973,2742,2010,1451,4
-1143.8595802676182,105.35515345699586,159.15084859304946,270106.80642250745,122941.75616013222,129754.36489081169,2740,2011,1453,4
-1138.7315186798905,118.15380850115079,145.20562127076428,270821.15490569687,123029.17448001569,130283.87479520847,2741,2009,1454,4
-1132.8949487115174,127.30463364470073,132.19585147303712,271798.73550525424,123129.08755576289,130941.51539339521,2722,2010,1451,4
-1126.5925917219522,133.20669285020833,120.24549705563209,273000.935308928,123237.17337488239,131723.19229638352,2827,2011,1451,4
-1120.0084574613168,136.25234455440503,109.44380762672237,274392.1586296809,123348.98598740292,132621.18690258922,2796,2009,1451,4
-1113.27399377384,136.81987095272365,99.84930718171243,275939.3062708986,123460.68907010026,133625.9586998806,2776,2013,1451,4
-1106.4778767179102,135.26389589079554,91.49540822041095,277611.31757376104,123569.97842008274,134727.82680663647,2748,2014,1452,4
-1099.6801883665341,131.90987036849037,84.39303894998487,279379.1614359556,123676.46476946074,135917.74704367816,2711,2010,1451,4
-1092.9294623886874,127.05184075606385,78.52817431637942,281216.2632763765,123781.33719287554,137187.3957187172,2693,2013,1452,4
