AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-1016.2922034050127,-101.68886673184548,45.528601904438126,299445.51068801293,118037.38195319529,200999.11198625615,160,2040,1532,4
-1014.1116422246374,-101.59845575386136,45.37450811817416,299763.9486220153,117450.21491303567,201362.59267874225,135,2043,1522,4
-1011.9608412234453,-101.57076934382256,45.248273418476046,300073.7268093141,116868.09970709431,201733.74132773443,147,2011,1533,4
-1009.8544275547506,-101.62352793289413,45.16242523153889,300370.6155154653,116296.638729696,202110.59513085918,99,2059,1530,4
-1007.8083305818632,-101.77382574578536,45.13093286533865,300650.8407458177,115741.26234958803,202491.04287988137,71,2009,1541,4
-1005.8394816684963,-102.03605601228173,45.16745726756521,300911.16487735143,115206.97726641051,202872.77750549658,82,2022,1541,4
-1003.9648851225453,-102.42020380942465,45.28290641715938,301148.95626365946,114698.04445001415,203253.27106022995,60,2021,1550,4
-1002.200779684724,-102.93103912947008,45.483726135045295,301362.2370528985,114217.73746438423,203629.7789685228,27,2018,1555,4
-1000.5621145950748,-103.56840893200051,45.77202192600558,301549.64818193397,113768.31103053968,203999.35440558096,9,2014,1565,4
-999.0619351936837,-104.32865390195323,46.147323034612675,301710.3443707974,113351.1477371708,204358.87479700326,0,2037,1562,4
-997.7107686309784,-105.20657413716567,46.60890369731151,301843.8959956387,112966.98281160815,204705.07450773852,0,2025,1567,4
-996.5164085805891,-106.1968867355172,47.15795191161304,301950.2547139166,112616.11593138518,205034.5782944611,0,2024,1582,4
-995.4839896238702,-107.29468090621835,47.79938483484553,302029.77872050955,112298.5513398149,205343.93715439175,0,2018,1590,4
-994.6160684936962,-108.49505911144816,48.54281503041744,302083.26682389056,112014.0395053304,205629.6440893614,0,1993,1611,4
-993.9132465643115,-109.79251421133681,49.402184459092666,302111.94788650115,111762.00764136766,205888.13637248526,0,1969,1642,4
-993.3764976751958,-111.18071309716801,50.39409097024936,302117.4132768307,111541.41615040613,206115.82233887044,0,1983,1627,4
-993.0104913795491,-112.65264785344569,51.53591563875755,302101.53630912997,111350.64494938277,206309.10981849895,0,1983,1629,4
-992.8252068016286,-114.19999108689944,52.84567537588519,302066.41345362086,111187.47248395944,206464.37674773572,0,1936,1679,4
