AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-964.5963639597293,40.84442021470582,157.36764477078148,259358.04537750818,130388.36076008122,238977.45193918012,6,1986,1521,4
-964.9084690961831,41.05692292993473,161.3253060911394,263320.8983189533,130739.41922412763,238118.3474132927,6,1992,1518,4
-965.236778117401,41.066926946552584,165.4936920563778,267382.02741086564,131110.06653772944,237233.39375167157,7,1995,1509,4
-965.5739738769424,40.885752361648095,169.87737927266457,271523.6382548774,131495.17540650358,236325.129517047,0,1992,1513,4
-965.912580460119,40.5135201725961,174.45292962198874,275728.39279779774,131889.1835431006,235396.31542484477,5,1987,1512,4
-966.2460564602346,39.93951236853382,179.17905193487834,279980.3767832703,132286.81857731743,234449.71744271688,14,1993,1504,4
-966.5702760866391,39.146001276779266,184.01278896270455,284265.96776610974,132683.94166265722,233487.77033747578,10,1991,1510,4
-966.8850245004144,38.115081491463464,188.92233881795218,288574.07307618216,133077.85983007125,232512.35189808815,1,1995,1507,4
-967.1951466419549,36.83722226119919,193.8938144593932,292895.9646085415,133466.93014413575,231524.71539808894,6,1997,1496,4
-967.5105060683255,35.31750026562884,198.93126455362685,297224.871915812,133849.79897110435,230525.5562201508,10,2009,1492,4
-967.8442842086415,33.57689022782969,204.05038708156917,301555.3104413712,134224.69984689704,229515.17859085795,0,2001,1499,4
-968.2102607012231,31.650325721895506,209.26960363874238,305882.2818154834,134589.0462226233,228493.68121166527,0,2000,1499,4
-968.6201432709572,29.583587547535757,214.60315083192265,310200.47516366636,134939.4294066519,227461.11393481493,0,1987,1492,4
-969.0818012737424,27.429628341833148,220.05867561932197,314503.52402590355,135272.00986076574,226417.6016710482,0,1990,1483,4
-969.5991235080825,25.245528880051822,225.6389971178244,318783.3559552735,135583.08139245803,225363.4399497743,0,1992,1486,4
-970.1737797584886,23.090864904684786,231.34626591613713,323029.73251139343,135869.50797668536,224299.14925620676,0,1988,1488,4
-970.8080282565779,21.02666918810799,237.1862841516743,327230.0688198782,136128.87372057227,223225.47519768355,0,1988,1487,4
-971.5068012670398,19.114413908927016,243.170589086381,331369.38660477207,136359.353641726,222143.38471083742,0,1992,1482,4
-972.2779301638861,17.414973603132825,249.3153348240032,335430.3494836495,136559.39572791572,221054.08085531555,5,1992,1477,4
-973.1308703757259,15.987381597936263,255.6379604836142,339393.51093683334,136727.35149534952,219958.99174004872,11,1996,1475,4
-974.0749822623693,14.887567832992076,262.15295368953775,343237.5764613421,136861.21097893853,218859.7609972829,3,1993,1473,4
-975.11798190114,14.167105721510406,268.8672549786489,346939.5671348869,136958.53370410725,217758.27414604067,12,2000,1468,4
-976.2646001059883,13.87162152081583,275.7759297209912,350475.13630488643,137016.55593006304,216656.68180059126,0,1997,1471,4
-977.515648980993,14.039163245577756,282.85973979125663,353818.97590787424,137032.3987425509,215557.42120518902,12,1997,1464,4
-978.8678565542168,14.69893453419844,290.0860889202597,356945.22529817466,137003.34337441996,214463.22652869724,16,1994,1466,4
-980.3143890113814,15.87026496770479,297.4127700884855,359828.076792032,136927.15679031485,213377.07937539998,0,1989,1472,4
-981.8455658411285,17.562011506794622,304.7920047145199,362442.4151757927,136802.34905575946,212302.15139680082,0,1997,1467,4
-983.4494613692705,19.772962628229653,312.17340334604006,364764.3403399167,136628.23711337283,211241.7777308049,0,1996,1463,4
-985.1124080785345,22.49310934632347,319.5062326170669,366771.7763083137,136404.84035309555,210199.3982868891,0,1994,1463,4
