AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-197.25781569205716,-40.82152598513211,-625.7618030346507,90566.92976900883,73307.53579527032,145446.9244970556,2525,2017,1451,4
-274.020259506044,-61.70057700288377,-567.0936260282069,104864.49229618882,82565.67236738856,148512.03713326677,2381,2020,1454,4
-349.29571557689064,-81.29964633721802,-509.39192465398907,119099.43794296881,91620.9432047727,151631.12044436394,2541,2026,1454,4
-422.55403430550683,-99.3825648476428,-452.99895500025656,133151.63639121765,100373.05663245096,154789.99426813517,2539,2037,1454,4
-493.2247621147386,-115.71314110186951,-398.2608054186998,146915.28555674318,108734.2979951449,157973.53622163917,2582,2041,1455,4
-560.7219004832303,-130.08114043271672,-345.5246456691254,160299.0073256975,116632.01703162774,161166.32100223983,2621,2047,1452,4
-624.5022609612079,-142.33622720935148,-295.137241362256,173223.04018885313,124010.52521944932,164354.72386309213,2586,2066,1451,4
-684.1249371618559,-152.41434219372843,-247.4376846703644,185616.41828642145,130832.6592739968,167529.19389030937,2520,2047,1450,4
-739.2819891973173,-160.34657075889822,-202.73525809932417,197416.01698408494,137080.2688799596,170685.15137208326,2414,2058,1452,4
-789.807821549492,-166.25577598209037,-161.27320446503757,208567.8605518154,142753.32663197693,173822.34883387544,2254,2076,1451,4
-835.6797294349735,-170.3461980065196,-123.20075118498261,219029.10427598393,147867.3582257041,176943.30594175574,2182,2090,1452,4
-877.0020584299949,-172.87903302988443,-88.57431780724481,228769.62509808672,152448.68642780272,180051.26250044396,2062,2102,1455,4
-913.968160403813,-174.13262543630515,-57.38255989263184,237773.784801091,156528.11197587638,183148.0582770511,1962,2113,1457,4
-946.8159379831,-174.36636534429886,-29.575059697334922,246041.8266584553,160135.60255407038,186232.5948842351,1818,2119,1453,4
-975.7984276417612,-173.8040463151965,-5.080619649127565,253589.46838405204,163298.06491106268,189300.32178576963,1654,2157,1455,4
-1001.1704044368607,-172.6303239863518,16.186559515066556,260445.34225831873,166039.9580409614,192343.66122302282,1489,2176,1465,4
-1023.1812765478019,-170.99020092278047,34.32882530892661,266646.97868156584,168385.3349857861,195352.93562576664,1271,2211,1635,4
-1042.0722478621894,-168.99137770306976,49.4719801324099,272236.76595264126,170359.63152746402,198317.21147230436,1005,2260,1639,4
-1058.0780971109696,-166.71162107182627,61.772520061436964,277258.95727473265,171990.1098789217,201224.91117421503,797,2289,1638,4
-1071.4302819503234,-164.20882267049214,71.41721257710557,281757.67241245805,173305.10536479542,204064.43187071977,603,2275,1639,4
-1082.358251658119,-161.52954036104143,78.61380166883472,285775.6731745073,174332.85982703345,206824.63458526554,483,2322,1640,4
-1091.0889321139227,-158.71487089999852,83.58000371344475,289353.8940046653,175100.5990084982,209495.0508300626,360,2341,1643,4
-1097.8459538434024,-155.80440644201425,86.53479379984188,292531.4932087955,175634.05856094428,212066.0426188336,386,2348,1643,4
-1102.8488423503522,-152.83810499782527,87.69240535648164,295345.9753851333,175957.3430395729,214528.94907798257,261,2354,1640,4
-1106.3109983816864,-149.85650794932852,87.25938505428543,297833.20911405166,176092.94468299535,216876.1237896057,195,2397,1642,4
